system,tag,type,status
27,27-PSV4820,PSV,PID_ONLY
27,27-PT4252A,PT,PID_ONLY
27,27-PT4801,PT,PID_ONLY
27,27-PT4802,PT,PID_ONLY
27,27-PT4806,PT,PID_ONLY
27,27-PT4807,PT,PID_ONLY
27,27-PT4809,PT,PID_ONLY
27,27-PT4823,PT,PID_ONLY
27,27-PV4803,PV,PID_ONLY
27,27-PV4809,PV,PID_ONLY
27,27-PY4803,PY,PID_ONLY
27,27-PY4809,PY,PID_ONLY
27,27-SI4208,SI,PID_ONLY
27,27-SI4214,SI,PID_ONLY
27,27-TA51,TA,PID_ONLY
27,27-TI4803,TI,PID_ONLY
27,27-TI4806,TI,PID_ONLY
27,27-TI4820,TI,PID_ONLY
27,27-TI4821,TI,PID_ONLY
27,27-TIC4808,TIC,PID_ONLY
27,27-TIC4816,TIC,PID_ONLY
27,27-TT4803,TT,PID_ONLY
27,27-TT4808,TT,PID_ONLY
27,27-TT4816,TT,PID_ONLY
27,27-TV4808,TV,PID_ONLY
27,27-TV4816,TV,PID_ONLY
27,27-TY4808,TY,PID_ONLY
27,27-TY4816,TY,PID_ONLY
27,27-XV4805,XV,PID_ONLY
27,27-XY4805,XY,PID_ONLY
27,27-XY4813,XY,PID_ONLY
27,27-XY4814,XY,PID_ONLY
27,27-XY4826,XY,PID_ONLY
27,27-XY4828,XY,PID_ONLY
27,27-ZL4805,ZL,PID_ONLY
27,27-ZL4813,ZL,PID_ONLY
27,27-ZL4814,ZL,PID_ONLY
27,27-ZL4826,ZL,PID_ONLY
27,27-ZL4828,ZL,PID_ONLY
27,27-ZS4805,ZS,PID_ONLY
27,27-ZS4813,ZS,PID_ONLY
27,27-ZS4814,ZS,PID_ONLY
27,27-ZS4826,ZS,PID_ONLY
27,27-ZS4828,ZS,PID_ONLY
27,27-EC52A,EC,SCD_ONLY
27,27-EC52B,EC,SCD_ONLY
27,27-FE52A,FE,SCD_ONLY
27,27-FE52B,FE,SCD_ONLY
27,27-FE53,FE,SCD_ONLY
27,27-FE54,FE,SCD_ONLY
27,27-FE55A,FE,SCD_ONLY
27,27-FE55B,FE,SCD_ONLY
27,27-FE57,FE,SCD_ONLY
27,27-FE58,FE,SCD_ONLY
27,27-FE59,FE,SCD_ONLY
27,27-FE60A,FE,SCD_ONLY
27,27-FE60B,FE,SCD_ONLY
27,27-FT2050,FT,SCD_ONLY
27,27-FT2060,FT,SCD_ONLY
27,27-GK50,GK,SCD_ONLY
27,27-GK51A,GK,SCD_ONLY
27,27-GK51B,GK,SCD_ONLY
27,27-GK52A,GK,SCD_ONLY
27,27-GK52B,GK,SCD_ONLY
27,27-HS4006,HS,SCD_ONLY
27,27-HS4338,HS,SCD_ONLY
27,27-HS4806,HS,SCD_ONLY
27,27-HV2055,HV,SCD_ONLY
27,27-HV2065,HV,SCD_ONLY
27,27-JB50,JB,SCD_ONLY
27,27-JG50,JG,SCD_ONLY
27,27-PA51A,PA,SCD_ONLY
27,27-PA51B,PA,SCD_ONLY
27,27-PIT2051A,PIT,SCD_ONLY
27,27-PIT2061A,PIT,SCD_ONLY
27,27-PT4250B,PT,SCD_ONLY
27,27-PT4552B,PT,SCD_ONLY
27,27-PX50,PX,SCD_ONLY
27,27-TT2054A,TT,SCD_ONLY
27,27-TT2064A,TT,SCD_ONLY
27,27-VW50,VW,SCD_ONLY
27,27-XJ50,XJ,SCD_ONLY
27,27-XJ51,XJ,SCD_ONLY
27,27-ZSH4005,ZSH,SCD_ONLY
42,42-ER50,ER,SCD_ONLY
42,42-FI2216,FI,SCD_ONLY
42,42-FRC2128,FRC,SCD_ONLY
42,42-FV2068,FV,SCD_ONLY
42,42-LI2099,LI,SCD_ONLY
42,42-PB51,PB,SCD_ONLY
42,42-PF52A,PF,SCD_ONLY
42,42-PF52B,PF,SCD_ONLY
42,42-PI2086,PI,SCD_ONLY
42,42-PV2092A,PV,SCD_ONLY
42,42-PV2092B,PV,SCD_ONLY
42,42-PV2126,PV,SCD_ONLY
42,42-TB51,TB,SCD_ONLY
42,42-TB55,TB,SCD_ONLY
42,42-TB56,TB,SCD_ONLY
42,42-VL55,VL,SCD_ONLY
42,42-VL56,VL,SCD_ONLY
43,43-FC50,FC,SCD_ONLY
43,43-LAHH2001,LAHH,SCD_ONLY
43,43-PA50,PA,SCD_ONLY
43,43-PB51,PB,SCD_ONLY
43,43-VD50,VD,SCD_ONLY
45,45-PV4831,PV,BOTH
45,45-XV4804,XV,BOTH
45,45-XV4805,XV,BOTH
45,45-XV4806,XV,BOTH
45,45-FI4810,FI,PID_ONLY
45,45-HS4804,HS,PID_ONLY
45,45-HS4805,HS,PID_ONLY
45,45-PI4810A,PI,PID_ONLY
45,45-PI4810B,PI,PID_ONLY
45,45-PSV4832,PSV,PID_ONLY
45,45-PSV4833,PSV,PID_ONLY
45,45-PT4804,PT,PID_ONLY
45,45-PT4805,PT,PID_ONLY
45,45-PT4831,PT,PID_ONLY
45,45-TI4810A,TI,PID_ONLY
45,45-TI4810B,TI,PID_ONLY
45,45-XJ50,XJ,PID_ONLY
45,45-XW50,XW,PID_ONLY
45,45-XX50,XX,PID_ONLY
45,45-XY4804,XY,PID_ONLY
45,45-XY4805,XY,PID_ONLY
45,45-XY4806,XY,PID_ONLY
45,45-XY4806A,XY,PID_ONLY
45,45-XY4806B,XY,PID_ONLY
45,45-ZL4804,ZL,PID_ONLY
