tag,system,type,category,status,n_pid,n_scd,pid_files,scd_files
27-CS51,27,CS,other,PID_ONLY,1,0,C025-V-HO27-P-_E-003-01.PDF,
27-CX057,27,CX,other,PID_ONLY,1,0,C025-V-HO27-P-_E-003-01.PDF,
27-CX50,27,CX,other,PID_ONLY,1,0,C025-V-HO27-P-_E-003-01.PDF,
27-CX54,27,CX,other,PID_ONLY,1,0,C025-V-HO27-P-_E-003-01.PDF,
27-CX55,27,CX,other,PID_ONLY,1,0,C025-V-HO27-P-_E-003-01.PDF,
27-CX56,27,CX,other,PID_ONLY,1,0,C025-V-HO27-P-_E-003-01.PDF,
27-CZ50,27,CZ,other,PID_ONLY,1,0,C025-V-HO27-P-_E-003-01.PDF,
27-CZ51,27,CZ,other,PID_ONLY,1,0,C025-V-HO27-P-_E-003-01.PDF,
27-EC52A,27,EC,other,SCD_ONLY,0,1,,C025-V-HO82-J-_E-102-01.PDF
27-EC52B,27,EC,other,SCD_ONLY,0,1,,C025-V-HO82-J-_E-102-01.PDF
27-ESV2240,27,ESV,other,PID_ONLY,1,0,C025-W-HO65-P-_U-002-01.PDF,
27-FE4801,27,FE,flow_element,PID_ONLY,1,0,C025-V-HO27-P-_E-001-01.PDF,
27-FE52A,27,FE,flow_element,SCD_ONLY,0,1,,C025-V-HO82-J-_E-102-01.PDF
27-FE52B,27,FE,flow_element,SCD_ONLY,0,1,,C025-V-HO82-J-_E-102-01.PDF
27-FE53,27,FE,flow_element,SCD_ONLY,0,1,,C025-V-HO82-J-_E-102-01.PDF
27-FE54,27,FE,flow_element,SCD_ONLY,0,1,,C025-V-HO82-J-_E-102-01.PDF
27-FE55A,27,FE,flow_element,SCD_ONLY,0,1,,C025-V-HO82-J-_E-102-01.PDF
27-FE55B,27,FE,flow_element,SCD_ONLY,0,1,,C025-V-HO82-J-_E-102-01.PDF
27-FE57,27,FE,flow_element,SCD_ONLY,0,1,,C025-V-HO82-J-_E-102-01.PDF
27-FE58,27,FE,flow_element,SCD_ONLY,0,1,,C025-V-HO82-J-_E-102-01.PDF
27-FE59,27,FE,flow_element,SCD_ONLY,0,1,,C025-V-HO82-J-_E-102-01.PDF
27-FE60A,27,FE,flow_element,SCD_ONLY,0,1,,C025-V-HO82-J-_E-102-01.PDF
27-FE60B,27,FE,flow_element,SCD_ONLY,0,1,,C025-V-HO82-J-_E-102-01.PDF
27-FI4801,27,FI,indicator,PID_ONLY,1,0,C025-V-HO27-P-_E-001-01.PDF,
27-FI4807,27,FI,indicator,PID_ONLY,1,0,C025-V-HO27-P-_E-002-01.PDF,
27-FIC4810,27,FIC,controller,PID_ONLY,1,0,C025-V-HO27-P-_E-002-01.PDF,
27-FO4827,27,FO,restriction_orifice,PID_ONLY,1,0,C025-V-HO27-P-_E-001-01.PDF,
27-FO4829,27,FO,restriction_orifice,PID_ONLY,1,0,C025-V-HO27-P-_E-001-01.PDF,
27-FT2050,27,FT,transmitter,SCD_ONLY,0,2,,C025-V-HO27-J-_E-102-01.PDF;C025-W-HO27-J-_E-001-01.PDF
27-FT2060,27,FT,transmitter,SCD_ONLY,0,1,,C025-W-HO27-J-_E-001-01.PDF
27-FT4801,27,FT,transmitter,PID_ONLY,1,0,C025-V-HO27-P-_E-001-01.PDF,
27-FT4807,27,FT,transmitter,PID_ONLY,1,0,C025-V-HO27-P-_E-002-01.PDF,
27-FT4810,27,FT,transmitter,PID_ONLY,1,0,C025-V-HO27-P-_E-002-01.PDF,
27-FV4810,27,FV,control_valve,PID_ONLY,1,0,C025-V-HO27-P-_E-002-01.PDF,
27-FV4811,27,FV,control_valve,PID_ONLY,2,0,C025-V-HO27-P-_E-001-01.PDF;C025-V-HO63-P-_U-001-01.PDF,
27-FY4810,27,FY,relay,PID_ONLY,1,0,C025-V-HO27-P-_E-002-01.PDF,
27-FY4811A,27,FY,relay,PID_ONLY,1,0,C025-V-HO27-P-_E-001-01.PDF,
27-FY4811B,27,FY,relay,PID_ONLY,1,0,C025-V-HO27-P-_E-001-01.PDF,
27-FY4811C,27,FY,relay,PID_ONLY,1,0,C025-V-HO27-P-_E-001-01.PDF,
27-GK50,27,GK,other,SCD_ONLY,0,1,,C025-W-HO82-J-_E-003-01.PDF
27-GK51A,27,GK,other,SCD_ONLY,0,1,,C025-V-HO82-J-_E-102-01.PDF
27-GK51B,27,GK,other,SCD_ONLY,0,1,,C025-V-HO82-J-_E-102-01.PDF
27-GK52A,27,GK,other,SCD_ONLY,0,1,,C025-V-HO82-J-_E-102-01.PDF
27-GK52B,27,GK,other,SCD_ONLY,0,1,,C025-V-HO82-J-_E-102-01.PDF
27-HA50,27,HA,other,BOTH,1,1,C025-V-HO27-P-_E-002-01.PDF,C025-V-HO27-J-_E-102-01.PDF
27-HS4006,27,HS,hand_switch,SCD_ONLY,0,1,,C025-V-HO45-J-_E-103-01.PDF
27-HS4338,27,HS,hand_switch,SCD_ONLY,0,1,,C025-V-HO82-J-_E-102-01.PDF
27-HS4805,27,HS,hand_switch,PID_ONLY,1,0,C025-V-HO27-P-_E-002-01.PDF,
27-HS4806,27,HS,hand_switch,SCD_ONLY,0,1,,C025-V-HO45-J-_E-103-01.PDF
27-HS4811,27,HS,hand_switch,PID_ONLY,1,0,C025-V-HO27-P-_E-001-01.PDF,
27-HS4813,27,HS,hand_switch,PID_ONLY,1,0,C025-V-HO27-P-_E-001-01.PDF,
27-HS4814,27,HS,hand_switch,PID_ONLY,1,0,C025-V-HO27-P-_E-001-01.PDF,
27-HS4826,27,HS,hand_switch,PID_ONLY,1,0,C025-V-HO27-P-_E-001-01.PDF,
27-HS4828,27,HS,hand_switch,PID_ONLY,1,0,C025-V-HO27-P-_E-001-01.PDF,
27-HV2055,27,HV,hand_valve,SCD_ONLY,0,1,,C025-W-HO27-J-_E-001-01.PDF
27-HV2065,27,HV,hand_valve,SCD_ONLY,0,1,,C025-W-HO27-J-_E-001-01.PDF
27-JB50,27,JB,other,SCD_ONLY,0,2,,C025-W-HO24-J-_E-001-01.PDF;C025-W-HO85-J-_E-001-01.PDF
27-JG50,27,JG,other,SCD_ONLY,0,2,,C025-V-HO82-J-_E-102-01.PDF;C025-V-HO85-J-_E-101-01.PDF
27-KA50,27,KA,machine,BOTH,3,2,C025-V-HO27-P-_E-001-01.PDF;C025-V-HO27-P-_E-003-01.PDF;C025-V-HO63-P-_U-001-01.PDF,C025-V-HO27-J-_E-101-01.PDF;C025-W-HO27-J-_E-001-01.PDF
27-KZ50,27,KZ,other,PID_ONLY,1,0,C025-V-HO64-P-_U-001-01.PDF,
27-PA51A,27,PA,other,SCD_ONLY,0,1,,C025-V-HO82-J-_E-102-01.PDF
27-PA51B,27,PA,other,SCD_ONLY,0,1,,C025-V-HO82-J-_E-102-01.PDF
27-PDI4812,27,PDI,indicator,PID_ONLY,1,0,C025-V-HO27-P-_E-001-01.PDF,
27-PDT4812,27,PDT,transmitter,BOTH,1,1,C025-V-HO27-P-_E-001-01.PDF,C025-V-HO27-J-_E-101-01.PDF
27-PI4801,27,PI,indicator,PID_ONLY,1,0,C025-V-HO27-P-_E-002-01.PDF,
27-PI4802,27,PI,indicator,PID_ONLY,1,0,C025-V-HO27-P-_E-002-01.PDF,
27-PI4804,27,PI,indicator,PID_ONLY,2,0,C025-V-HO27-P-_E-001-01.PDF;C025-V-HO27-P-_E-002-01.PDF,
27-PI4805,27,PI,indicator,PID_ONLY,1,0,C025-V-HO27-P-_E-001-01.PDF,
27-PI4806,27,PI,indicator,PID_ONLY,1,0,C025-V-HO27-P-_E-002-01.PDF,
27-PI4807,27,PI,indicator,PID_ONLY,1,0,C025-V-HO27-P-_E-001-01.PDF,
27-PI4823,27,PI,indicator,PID_ONLY,1,0,C025-V-HO27-P-_E-001-01.PDF,
27-PIC4803,27,PIC,controller,PID_ONLY,1,0,C025-V-HO27-P-_E-001-01.PDF,
