tag,system,type,category,status,n_pid,n_scd,pid_files,scd_files
13-TI2286,13,TI,indicator,PID_ONLY,1,0,C025-W-HO13-P-_E-004-01.PDF,
13-TI2313,13,TI,indicator,SCD_ONLY,0,1,,C025-W-HO13-J-_E-001-01.PDF
13-TT2263,13,TT,transmitter,PID_ONLY,1,0,C025-W-HO13-P-_E-004-01.PDF,
13-TT2280,13,TT,transmitter,PID_ONLY,1,0,C025-W-HO13-P-_E-004-01.PDF,
13-XJ54,13,XJ,other,PID_ONLY,1,0,C025-W-HO13-P-_E-004-01.PDF,
13-XJ55,13,XJ,other,SCD_ONLY,0,1,,C025-W-HO13-J-_E-001-01.PDF
13-XV2271,13,XV,shutdown_valve,PID_ONLY,1,0,C025-W-HO13-P-_E-004-01.PDF,
13-XV2272,13,XV,shutdown_valve,PID_ONLY,1,0,C025-W-HO13-P-_E-004-01.PDF,
13-XV2279,13,XV,shutdown_valve,PID_ONLY,1,0,C025-W-HO13-P-_E-004-01.PDF,
13-XY2252,13,XY,relay,PID_ONLY,1,0,C025-W-HO13-P-_E-004-01.PDF,
13-XY2253,13,XY,relay,PID_ONLY,1,0,C025-W-HO13-P-_E-004-01.PDF,
13-XY2279,13,XY,relay,PID_ONLY,1,0,C025-W-HO13-P-_E-004-01.PDF,
13-ZL2271,13,ZL,position_indicator,PID_ONLY,1,0,C025-W-HO13-P-_E-004-01.PDF,
13-ZL2272,13,ZL,position_indicator,PID_ONLY,1,0,C025-W-HO13-P-_E-004-01.PDF,
13-ZL2279,13,ZL,position_indicator,PID_ONLY,1,0,C025-W-HO13-P-_E-004-01.PDF,
13-ZL2287,13,ZL,position_indicator,PID_ONLY,1,0,C025-W-HO13-P-_E-004-01.PDF,
13-ZS05,13,ZS,position_switch,SCD_ONLY,0,1,,C025-W-HO13-J-_E-001-01.PDF
13-ZS13,13,ZS,position_switch,SCD_ONLY,0,2,,C025-W-HO13-J-_E-001-01.PDF;C025-W-HO13-J-_E-002-01.PDF
13-ZS2264,13,ZS,position_switch,PID_ONLY,1,0,C025-W-HO13-P-_E-004-01.PDF,
13-ZS2271,13,ZS,position_switch,PID_ONLY,1,0,C025-W-HO13-P-_E-004-01.PDF,
13-ZS2272,13,ZS,position_switch,PID_ONLY,1,0,C025-W-HO13-P-_E-004-01.PDF,
13-ZS2279,13,ZS,position_switch,PID_ONLY,1,0,C025-W-HO13-P-_E-004-01.PDF,
13-ZS2287,13,ZS,position_switch,PID_ONLY,1,0,C025-W-HO13-P-_E-004-01.PDF,
20-2002PL,20,PL,other,PID_ONLY,1,0,C025-V-HB20-P-_E-001-01.PDF,
20-2002VF,20,VF,other,PID_ONLY,1,0,C025-W-HO20-P-_E-002-01.PDF,
20-2003PL,20,PL,other,PID_ONLY,1,0,C025-V-HB20-P-_E-001-01.PDF,
20-2003VF,20,VF,other,PID_ONLY,1,0,C025-W-HO20-P-_E-002-01.PDF,
20-2004PT,20,PT,transmitter,PID_ONLY,1,0,C025-W-HO20-P-_E-001-01.PDF,
20-2005WI,20,WI,other,PID_ONLY,1,0,C025-W-HO20-P-_E-002-01.PDF,
20-2006WI,20,WI,other,PID_ONLY,1,0,C025-W-HO20-P-_E-002-01.PDF,
20-2007VF,20,VF,other,PID_ONLY,1,0,C025-W-HO20-P-_E-002-01.PDF,
20-2009VF,20,VF,other,PID_ONLY,1,0,C025-W-HO20-P-_E-002-01.PDF,
20-2011PL,20,PL,other,PID_ONLY,1,0,C025-W-HO20-P-_E-002-01.PDF,
20-2012PL,20,PL,other,PID_ONLY,1,0,C025-W-HO20-P-_E-002-01.PDF,
20-2013PL,20,PL,other,PID_ONLY,1,0,C025-W-HO20-P-_E-002-01.PDF,
20-2014PL,20,PL,other,PID_ONLY,1,0,C025-W-HO20-P-_E-002-01.PDF,
20-2015PL,20,PL,other,PID_ONLY,1,0,C025-W-HO20-P-_E-002-01.PDF,
20-2016PL,20,PL,other,PID_ONLY,1,0,C025-W-HO20-P-_E-002-01.PDF,
20-2017PL,20,PL,other,PID_ONLY,1,0,C025-W-HO20-P-_E-002-01.PDF,
20-2018PL,20,PL,other,PID_ONLY,1,0,C025-W-HO20-P-_E-002-01.PDF,
20-2023VF,20,VF,other,PID_ONLY,1,0,C025-W-HO20-P-_E-002-01.PDF,
20-2024PL,20,PL,other,PID_ONLY,1,0,C025-W-HO20-P-_E-002-01.PDF,
20-2024VF,20,VF,other,PID_ONLY,1,0,C025-W-HO20-P-_E-001-01.PDF,
20-2025PL,20,PL,other,PID_ONLY,1,0,C025-W-HO20-P-_E-002-01.PDF,
20-2025VF,20,VF,other,PID_ONLY,1,0,C025-W-HO20-P-_E-001-01.PDF,
20-2026PL,20,PL,other,PID_ONLY,1,0,C025-W-HO20-P-_E-002-01.PDF,
20-2027PL,20,PL,other,PID_ONLY,1,0,C025-W-HO20-P-_E-002-01.PDF,
20-2028PL,20,PL,other,PID_ONLY,1,0,C025-W-HO20-P-_E-002-01.PDF,
20-2029PL,20,PL,other,PID_ONLY,1,0,C025-W-HO20-P-_E-002-01.PDF,
20-2030PL,20,PL,other,PID_ONLY,1,0,C025-W-HO20-P-_E-002-01.PDF,
20-2030VF,20,VF,other,PID_ONLY,1,0,C025-W-HO20-P-_E-001-01.PDF,
20-2031VF,20,VF,other,PID_ONLY,1,0,C025-W-HO20-P-_E-001-01.PDF,
20-2072PL,20,PL,other,PID_ONLY,1,0,C025-V-HB20-P-_E-001-01.PDF,
20-2074PL,20,PL,other,PID_ONLY,1,0,C025-V-HB20-P-_E-001-01.PDF,
20-2076PL,20,PL,other,PID_ONLY,1,0,C025-V-HB20-P-_E-001-01.PDF,
20-2079PL,20,PL,other,PID_ONLY,1,0,C025-V-HB20-P-_E-001-01.PDF,
20-2081PL,20,PL,other,PID_ONLY,1,0,C025-V-HB20-P-_E-001-01.PDF,
20-4450PV,20,PV,control_valve,PID_ONLY,1,0,C025-W-HO20-P-_E-002-01.PDF,
20-FI2061,20,FI,indicator,SCD_ONLY,0,1,,C025-W-HO20-J-_E-002-01.PDF
20-FIC00,20,FIC,controller,SCD_ONLY,0,1,,C025-W-HO20-J-_E-001-01.PDF
20-FIC2000,20,FIC,controller,PID_ONLY,1,0,C025-V-HB20-P-_E-001-01.PDF,
20-FT2000,20,FT,transmitter,PID_ONLY,1,0,C025-V-HB20-P-_E-001-01.PDF,
20-FV2000,20,FV,control_valve,PID_ONLY,1,0,C025-V-HB20-P-_E-001-01.PDF,
20-FY2000,20,FY,relay,PID_ONLY,1,0,C025-V-HB20-P-_E-001-01.PDF,
20-HE50,20,HE,other,SCD_ONLY,0,1,,C025-W-HO20-J-_E-002-01.PDF
20-HS20,20,HS,hand_switch,SCD_ONLY,0,1,,C025-W-HO20-J-_E-001-01.PDF
20-HS2007,20,HS,hand_switch,PID_ONLY,1,0,C025-W-HO20-P-_E-002-01.PDF,
20-HS2008,20,HS,hand_switch,PID_ONLY,1,0,C025-W-HO20-P-_E-002-01.PDF,
20-HS2009,20,HS,hand_switch,PID_ONLY,1,0,C025-W-HO20-P-_E-002-01.PDF,
20-HS2015,20,HS,hand_switch,PID_ONLY,1,0,C025-W-HO20-P-_E-002-01.PDF,
20-HS2202,20,HS,hand_switch,PID_ONLY,1,0,C025-V-HB20-P-_E-001-01.PDF,
20-HS2202A,20,HS,hand_switch,PID_ONLY,1,0,C025-V-HB20-P-_E-001-01.PDF,
20-HS2202B,20,HS,hand_switch,PID_ONLY,1,0,C025-V-HB20-P-_E-001-01.PDF,
20-LI2005,20,LI,indicator,PID_ONLY,1,0,C025-W-HO20-P-_E-002-01.PDF,
20-LI2200,20,LI,indicator,SCD_ONLY,0,1,,C025-W-HO20-J-_E-001-01.PDF
20-LIC2055,20,LIC,controller,SCD_ONLY,0,1,,C025-W-HO20-J-_E-002-01.PDF
20-LIC2200,20,LIC,controller,PID_ONLY,2,0,C025-V-HB20-P-_E-001-01.PDF;C025-W-HO20-P-_E-002-01.PDF,
20-LIC2200A,20,LIC,controller,PID_ONLY,2,0,C025-V-HB20-P-_E-001-01.PDF;C025-W-HO20-P-_E-002-01.PDF,
20-LIC2200B,20,LIC,controller,PID_ONLY,2,0,C025-V-HB20-P-_E-001-01.PDF;C025-W-HO20-P-_E-002-01.PDF,
20-LSL00B,20,LSL,other,SCD_ONLY,0,1,,C025-W-HO20-J-_E-001-01.PDF
20-LSL01,20,LSL,other,SCD_ONLY,0,1,,C025-W-HO20-J-_E-001-01.PDF
20-LSL05,20,LSL,other,SCD_ONLY,0,1,,C025-W-HO20-J-_E-001-01.PDF
20-LSL15,20,LSL,other,SCD_ONLY,0,1,,C025-W-HO20-J-_E-001-01.PDF
20-LSL20,20,LSL,other,SCD_ONLY,0,1,,C025-W-HO20-J-_E-001-01.PDF
20-LSL2016,20,LSL,other,SCD_ONLY,0,1,,C025-W-HO20-J-_E-002-01.PDF
20-LT2005,20,LT,transmitter,PID_ONLY,1,0,C025-W-HO20-P-_E-002-01.PDF,
20-LT2200,20,LT,transmitter,PID_ONLY,1,0,C025-W-HO20-P-_E-002-01.PDF,
20-LV2200A,20,LV,control_valve,PID_ONLY,2,0,C025-V-HB20-P-_E-001-01.PDF;C025-W-HO20-P-_E-002-01.PDF,
20-LV2200B,20,LV,control_valve,PID_ONLY,2,0,C025-V-HB20-P-_E-001-01.PDF;C025-W-HO20-P-_E-002-01.PDF,
20-LY2200A,20,LY,other,PID_ONLY,2,0,C025-V-HB20-P-_E-001-01.PDF;C025-W-HO20-P-_E-002-01.PDF,
20-LY2200B,20,LY,other,PID_ONLY,2,0,C025-V-HB20-P-_E-001-01.PDF;C025-W-HO20-P-_E-002-01.PDF,
20-PA001,20,PA,other,BOTH,2,2,C025-V-HB20-P-_E-001-01.PDF;C025-W-HO20-P-_E-002-01.PDF,C025-V-HO82-J-_E-102-01.PDF;C025-W-HO20-J-_E-001-01.PDF
20-PA20,20,PA,other,SCD_ONLY,0,1,,C025-W-HO20-J-_E-001-01.PDF
20-PA2021,20,PA,other,PID_ONLY,1,0,C025-W-HO20-P-_E-001-01.PDF,
20-PA2022,20,PA,other,PID_ONLY,1,0,C025-W-HO20-P-_E-001-01.PDF,
20-PI01,20,PI,indicator,SCD_ONLY,0,1,,C025-W-HO20-J-_E-001-01.PDF
20-PI2012,20,PI,indicator,PID_ONLY,1,0,C025-W-HO20-P-_E-001-01.PDF,
20-PI2015,20,PI,indicator,PID_ONLY,1,0,C025-V-HB20-P-_E-001-01.PDF,
20-PI2016,20,PI,indicator,PID_ONLY,1,0,C025-V-HB20-P-_E-001-01.PDF,
20-PI2018,20,PI,indicator,PID_ONLY,1,0,C025-W-HO20-P-_E-001-01.PDF,
20-PI2019,20,PI,indicator,PID_ONLY,1,0,C025-W-HO20-P-_E-001-01.PDF,
20-PI2176,20,PI,indicator,PID_ONLY,1,0,C025-W-HO20-P-_E-002-01.PDF,
20-PSE2018,20,PSE,safety_element,PID_ONLY,1,0,C025-W-HO20-P-_E-001-01.PDF,
20-PSE2019,20,PSE,safety_element,PID_ONLY,1,0,C025-W-HO20-P-_E-001-01.PDF,
20-PSV2171,20,PSV,safety_valve,PID_ONLY,1,0,C025-W-HO20-P-_E-002-01.PDF,
20-PT2012,20,PT,transmitter,PID_ONLY,1,0,C025-W-HO20-P-_E-001-01.PDF,
20-PT2016,20,PT,transmitter,PID_ONLY,1,0,C025-V-HB20-P-_E-001-01.PDF,
20-PT2018,20,PT,transmitter,PID_ONLY,1,0,C025-W-HO20-P-_E-001-01.PDF,
20-PT2019,20,PT,transmitter,PID_ONLY,1,0,C025-W-HO20-P-_E-001-01.PDF,
20-PV2201,20,PV,control_valve,SCD_ONLY,0,2,,C025-V-HO27-J-_E-101-01.PDF;C025-W-HO27-J-_E-001-01.PDF
20-SI2806,20,SI,speed_vibration,PID_ONLY,2,0,C025-W-HO20-P-_E-001-01.PDF;C025-W-HO20-P-_E-002-01.PDF,
20-SI3003,20,SI,speed_vibration,PID_ONLY,1,0,C025-W-HO20-P-_E-002-01.PDF,
20-SI3316,20,SI,speed_vibration,PID_ONLY,1,0,C025-W-HO20-P-_E-002-01.PDF,
20-SI3318,20,SI,speed_vibration,PID_ONLY,1,0,C025-W-HO20-P-_E-002-01.PDF,
20-SI3701,20,SI,speed_vibration,PID_ONLY,1,0,C025-W-HO20-P-_E-002-01.PDF,
20-SI4201,20,SI,speed_vibration,PID_ONLY,1,0,C025-W-HO20-P-_E-002-01.PDF,
20-TAHH2060,20,TAHH,other,PID_ONLY,1,0,C025-V-HB20-P-_E-001-01.PDF,
20-TI2001A,20,TI,indicator,PID_ONLY,1,0,C025-W-HO20-P-_E-002-01.PDF,
